
*                 FILE                 DATE               TARGET                 FOIL     DEE1_VOLTAGE_MAX     DEE1_VOLTAGE_MIN     DEE1_VOLTAGE_AVE     DEE1_VOLTAGE_STD     DEE2_VOLTAGE_MAX     DEE2_VOLTAGE_MIN     DEE2_VOLTAGE_AVE     DEE2_VOLTAGE_STD    FORWARD_POWER_MAX    FORWARD_POWER_MIN    FORWARD_POWER_AVE    FORWARD_POWER_STD  REFLECTED_POWER_MAX  REFLECTED_POWER_MIN  REFLECTED_POWER_AVE  REFLECTED_POWER_STD       PHASE_LOAD_MAX       PHASE_LOAD_MIN       PHASE_LOAD_AVE       PHASE_LOAD_STD            FLAP1_MAX            FLAP1_MIN            FLAP1_AVE            FLAP1_STD            FLAP2_MAX            FLAP2_MIN            FLAP2_AVE            FLAP2_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4126           2020-01-02                    1                    1                 37.6                 37.1        37.3233891064        0.10191008767                 40.7                 39.9        40.3235315059        0.12751502255                 11.2                 10.4        10.7360270559       0.131527247574                  0.3                  0.1       0.193129227483      0.0314443689903                 37.3                 32.5        35.0043431826        1.07521132452                 45.6                 38.8        42.5046279815        1.23771281563                 37.3                 32.5        35.0043431826        1.07521132452
                  4127           2020-01-02                    1                    1                 37.6                   37        37.3203872437      0.0981128017753                 40.7                 39.9         40.323690205       0.121528063895                 11.3                 10.4        10.7567198178       0.129929101667                  0.3                  0.1       0.197760060744      0.0233554323032                 38.1                 33.8        36.1927107062       0.864538018485                 46.3                 41.3        43.8656416097       0.897427472822                 38.1                 33.8        36.1927107062       0.864538018485
                  4128           2020-01-02                    1                    1                 37.6                 37.1        37.3168438267      0.0935928499537                 40.7                 39.9        40.3170891251       0.120005577975                 10.8                 10.1        10.3789043336         0.1273535001                  0.3                  0.1       0.116843826656      0.0385023936656                 36.2                 32.7        34.4887162715       0.693495232431                 45.1                 40.4        42.7225674571       0.819347574738                 36.2                 32.7        34.4887162715       0.693495232431
                  4130           2020-01-03                    1                    1                 37.7                   37        37.3193113241       0.100565430142                 40.7                 39.5        40.3222222222       0.129509723607                 11.3                 10.4        10.7579694711       0.130213207342                  0.4                  0.1       0.199148029819      0.0236675836535                 36.8                   32         34.651544196        1.06198984416                 45.2                 38.3        42.1059637913        1.25331789812                 36.8                   32         34.651544196        1.06198984416
                  4131           2020-01-03                    1                    1                 37.6                   37        37.3155110793       0.102587710962                 40.8                 39.9        40.3139385275        0.12745992296                 11.2                 10.4        10.7737312366       0.130457004343                  0.3                  0.1       0.201143674053      0.0180969140979                 37.6                 32.5        35.5063259471        1.01015891126                 46.2                 40.2        43.3806290207       0.991798046056                 37.6                 32.5        35.5063259471        1.01015891126
                  4132           2020-01-03                    1                    2                 37.6                 37.1        37.3207725322      0.0986488318999                 40.7                   40         40.320944206       0.124331556504                 10.8                   10        10.3250643777       0.121817848159                  0.3                  0.1        0.11347639485      0.0348930997871                 35.8                 32.5        34.2491845494       0.673312052802                 44.4                 40.3        42.5441201717       0.757629136389                 35.8                 32.5        34.2491845494       0.673312052802
                  4134           2020-01-06                    1                    2                 37.6                   37        37.3201565558       0.103049277399                 40.7                   40        40.3190606654       0.120276500751                 11.1                 10.3        10.6799217221       0.127569457455                  0.3                  0.1       0.168532289628      0.0479317685552                 35.7                 30.9        33.7385518591        1.14968431673                 44.1                 37.9        41.4702544031        1.31838710312                 35.7                 30.9        33.7385518591        1.14968431673
                  4135           2020-01-06                    1                    2                 37.6                   37        37.3217524981      0.0965365016984                 40.8                 39.9        40.3194081476       0.120385443851                 11.1                 10.3        10.6973481937       0.131875407823                  0.3                  0.1       0.182590315142      0.0406582146828                 38.1                 33.4        35.9236356649       0.907822441856                 46.6                 40.9        43.5779784781        0.93237280607                 38.1                 33.4        35.9236356649       0.907822441856
                  4136           2020-01-06                    1                    2                 37.6                   37        37.3178725237       0.110803754999                 40.8                 39.7        40.3144272179       0.136882177404                 11.1                 10.3        10.6968561585       0.132307178465                  0.3                  0.1       0.184797588286      0.0387873621191                 38.6                 34.7        36.8724375538        0.69576546295                 46.7                 41.9        44.3089147287       0.733493482958                 38.6                 34.7        36.8724375538        0.69576546295
                  4138           2020-01-07                    1                    2                 37.7                   37        37.3207189795       0.099066892587                 40.7                 39.5        40.3190181678       0.129170745984                 11.3                 10.3        10.7051024353       0.132287781571                  0.4                  0.1       0.187205257054      0.0385597594357                 36.4                 30.3        33.8579049092        1.29094641775                 44.2                 36.7        41.1104754542        1.43465126161                 36.4                 30.3        33.8579049092        1.29094641775
                  4139           2020-01-07                    1                    2                 37.6                 37.1        37.3226391231      0.0993958968173                 40.7                 39.9        40.3241989882       0.122355634859                 11.2                 10.4        10.7188870152       0.134380506233                  0.3                  0.1       0.193844856661      0.0301075566815                 37.6                 33.3        35.6306492411        0.91453086052                   46                 39.9        43.2478499157       0.977538429173                 37.6                 33.3        35.6306492411        0.91453086052
                  4140           2020-01-07                    1                    2                 37.7                   37        37.3233927607      0.0992600758051                 40.8                   40         40.323284711        0.12676933403                 11.2                 10.4        10.7206915181       0.129990887884                  0.3                  0.1       0.195948136143      0.0248127620597                 37.7                   34        36.0594273366       0.697097088366                 45.7                 41.4        43.6682874122       0.752201333116                 37.7                   34        36.0594273366       0.697097088366
                  4144           2020-01-08                    1                    2                 37.7                 37.1        37.3237310775       0.100278182908                 40.8                 39.9        40.3215048976       0.127848337643                 11.1                 10.4        10.6921638468       0.129699432837                  0.3                  0.1         0.1857079252      0.0404297065899                   38                 33.8        36.0932769368       0.805896701326                 46.1                 40.9        43.6678539626       0.792225990255                   38                 33.8        36.0932769368       0.805896701326
                  4148           2020-01-09                    1                    3                 37.6                 37.1        37.3213320913       0.102559218058                 40.8                 39.9        40.3170004658       0.127294009238                 11.1                 10.4        10.6789007918       0.132817635845                  0.3                  0.1       0.181276199348      0.0418889298865                 38.3                 34.6        36.5388448999       0.733216283236                   46                 41.5        43.8158360503       0.784485560088                 38.3                 34.6        36.5388448999       0.733216283236
                  4152           2020-01-10                    1                    3                 37.6                 37.1                37.32      0.0993998161474                 40.7                   40        40.3198382749       0.124406843838                 11.2                 10.3        10.6909433962       0.130988053315                  0.4                  0.1       0.186037735849       0.037498444593                   38                 34.2        36.0919137466       0.748258969757                 45.6                 41.2         43.419245283       0.750109764976                   38                 34.2        36.0919137466       0.748258969757
                  4154           2020-01-13                    4                    2                 37.6                   37        37.3186572438      0.0949519080922                 40.7                 39.9        40.3210600707       0.120048311518                 11.1                 10.4        10.7111660777       0.130813102649                  0.3                  0.1       0.189045936396      0.0352699034267                 37.3                 32.3        34.9897879859        1.16030866991                 45.1                 38.3        42.1672084806        1.25524439739                 37.3                 32.3        34.9897879859        1.16030866991
                  4155           2020-01-13                    4                    2                 37.6                   37        37.3210248681      0.0963282435447                 40.7                   40        40.3213639789       0.120252595233                 11.1                 10.4        10.7144310475       0.128959213921                  0.3                  0.1       0.191710625471      0.0317632642952                 38.6                 34.8        36.8263376036       0.817404175484                 46.7                 41.4        43.9919743783       0.843789996235                 38.6                 34.8        36.8263376036       0.817404175484
                  4156           2020-01-13                    4                    2                 37.6                   37        37.3134242642      0.0918774670906                 40.7                   40        40.3158650395       0.112529433423                 11.1                 10.4        10.7079684135       0.131318211988                  0.3                  0.1       0.193323761665      0.0289553829551                 36.9                 32.8        34.9189519024       0.826186488188                 45.1                   40        42.7937544867       0.872782047557                 36.9                 32.8        34.9189519024       0.826186488188
                  4158           2020-01-14                    4                    2                 37.6                   37         37.318136734      0.0949138715427                 40.8                 39.6        40.3208643287       0.120603469963                 11.3                 10.4         10.721360255       0.130914081957                  0.4                  0.1       0.193163301452      0.0321507459221                 36.8                 31.7        34.4139922069        1.19866458163                 45.1                 37.1        41.6451292951        1.37660871375                 36.8                 31.7        34.4139922069        1.19866458163
                  4159           2020-01-14                    4                    2                 37.6                   37        37.3150690041      0.0956557536851                 40.7                 39.9        40.3168593808        0.12073064274                 11.3                 10.4        10.7353226408       0.132551561355                  0.4                  0.1       0.196941439761      0.0239273409497                 38.2                 33.3         36.048228273        1.00969453805                 46.1                 40.4        43.3916822081          0.945860948                 38.2                 33.3         36.048228273        1.00969453805
                  4160           2020-01-14                    4                    2                 37.6                 37.1         37.320668693       0.103819453322                 40.7                   40        40.3213779129       0.127157872973                 11.1                 10.4        10.7072948328       0.136935179437                  0.3                  0.1       0.195238095238      0.0267757214277                 36.4                   33        34.8466058764       0.616142302612                 44.7                 40.5        42.6343465046       0.746830963363                 36.4                   33        34.8466058764       0.616142302612
                  4162           2020-01-15                    4                    3                 37.6                   37                37.32      0.0997665118688                 40.7                 39.9        40.3180212014       0.121068445332                 11.2                 10.4        10.7268904594        0.12909529726                  0.3                  0.1       0.192190812721      0.0309873846503                 37.2                   32        34.7590106007         1.1787286122                 44.9                 37.9        42.0201060071        1.30172567825                 37.2                   32        34.7590106007         1.1787286122
                  4163           2020-01-15                    4                    3                 37.6                   37        37.3191489362       0.102874517097                 40.7                 39.9        40.3194528875       0.131371089978                 11.1                 10.4        10.7271276596       0.131716348526                  0.4                  0.1       0.195478723404      0.0274013622597                   38                 32.9        35.4938449848        1.07325179274                 45.8                 39.9        43.0998860182        0.99353341646                   38                 32.9        35.4938449848        1.07325179274
                  4164           2020-01-15                    4                    3                 37.6                   37        37.3169036335       0.103525005349                 40.7                 39.9        40.3176935229       0.131625111186                 11.2                 10.4        10.7339257504       0.130250363547                  0.3                  0.1       0.195102685624       0.027817343898                 38.5                 34.4        36.7399684044       0.849443456279                 46.3                 41.5        43.9537519747       0.790647932606                 38.5                 34.4        36.7399684044       0.849443456279
                  4166           2020-01-16                    4                    3                 37.6                   37        37.3160941001       0.100216986926                 40.7                   40        40.3153472741       0.123611371285                 11.2                 10.3        10.7489544436       0.129789961364                  0.3                  0.1       0.198469006721      0.0206659382456                 36.7                 30.4        33.9626587005        1.26880858743                 44.6                 37.1        41.1561239731        1.46763624544                 36.7                 30.4        33.9626587005        1.26880858743
                  4167           2020-01-16                    4                    3                 37.6                   37        37.3198383542       0.105729905701                 40.7                 39.9        40.3187729611       0.133663000972                 11.2                 10.4        10.8139235856       0.135073246118                  0.3                  0.1       0.201910360029      0.0147233379977                 38.6                 34.4        36.5541146216       0.921870545977                 45.8                 40.5        43.3709772226       0.827611135288                 38.6                 34.4        36.5541146216       0.921870545977
