
*                 FILE                 DATE               TARGET                 FOIL          CURRENT_MAX          CURRENT_MIN          CURRENT_AVE          CURRENT_STD          VOLTAGE_MAX          VOLTAGE_MIN          VOLTAGE_AVE          VOLTAGE_STD                HFLOW            RATIO_MAX            RATIO_MIN            RATIO_AVE            RATIO_STD SOURCE_PERFORMANCE_AVE SOURCE_PERFORMANCE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                  4126           2020-01-02                    1                    1                  420                  334        394.827340691        13.9701566198                  511                  449        464.400854397         8.2710972347                  4.5        4.22177009156        3.38056680162        3.95014295962       0.136927720545       0.206944444444                    0
                  4127           2020-01-02                    1                    1                  451                  336        429.290432802        16.9387751284                  506                  435        446.209946849        9.40086143229                  4.5        4.53172205438        3.50730688935        4.29531212181       0.163499328448       0.216666666667                    0
                  4128           2020-01-02                    1                    1                  345                  272        331.717089125        12.2465177802                  565                  496        509.577269011        10.3409753466                  4.5         4.3710292249        3.46055979644        4.15239412517       0.147293323383       0.222388059701                    0
                  4130           2020-01-03                    1                    1                  441                  347        424.134895279        12.0595307743                  503                  436        448.724529641        6.43076325257                  4.5        4.44108761329        3.64113326338        4.24029780296       0.116575099812       0.196052631579                    0
                  4131           2020-01-03                    1                    1                  470                  373        446.832380272        14.9359651328                  480                  426        438.035739814        7.62877125287                  4.5        4.73790322581         3.7906504065        4.47006862825       0.145157198304       0.219117647059                    0
                  4132           2020-01-03                    1                    2                  343                  264         332.17167382        12.2716626447                  587                  500        509.974248927        10.4366976947                  4.5        4.32534678436        3.32493702771        4.15780287345       0.146721604318       0.222058823529                    0
                  4134           2020-01-06                    1                    2                  391                  295        370.005088063         13.130072351                  544                  464        479.029745597         8.8426058829                  4.5         3.9412360689        3.00713557594        3.70624115205        0.12896849519       0.274545454545                    0
                  4135           2020-01-06                    1                    2                  421                  300        403.134127594        17.0523247446                  544                  448        459.870868563        10.4042172729                  4.5        4.25101214575         3.0959752322        4.03412883134       0.165187661413       0.222058823529                    0
                  4136           2020-01-06                    1                    2                  448                  350        427.639965547        15.3636231999                  496                  436        447.121447028        8.53663513969                  4.5        4.53713123093        3.56415478615        4.27879785133       0.147496795647       0.211267605634                    0
                  4138           2020-01-07                    1                    2                  427                  339        410.590258987         12.767639965                  503                  446        455.977580209        7.27893369825                  4.5        4.32624113475        3.45565749235        4.10635416536       0.126022385218       0.235483870968                    0
                  4139           2020-01-07                    1                    2                  454                  355        436.916947723         11.341373145                  498                  433        442.779089376        6.10083353555                  4.5        4.56016177958        3.75661375661        4.37180103909       0.108699121172       0.219117647059                    0
                  4140           2020-01-07                    1                    2                  467                  370        452.833603458        11.7312962477                  490                  427        435.616963803        5.92321784473                  4.5        4.70232088799                    4        4.52978274295       0.112420857111        0.20985915493                    0
                  4144           2020-01-08                    1                    2                  457                  361        444.337934105        11.1845704528                  492                  433        439.943900267        6.01374692006                  4.5        4.69238790407        3.73706004141        4.44575083207       0.107846013274       0.208450704225                    0
                  4148           2020-01-09                    1                    3                  462                  366        447.602701444        8.22104109521                  490                  432        439.149510946         4.2806203701                  4.5        4.70779220779        3.99127589967        4.47467190749       0.076977094382                  0.2                    0
