
*                 FILE                 DATE               TARGET                 FOIL         PRESSURE_MAX         PRESSURE_MIN         PRESSURE_AVE         PRESSURE_STD
$                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
                  4126           2020-01-02                    1                    1                  1.7                  1.6        1.69629761481      0.0188820248635
                  4127           2020-01-02                    1                    1                  1.7                  1.6        1.69776006074       0.014797857876
                  4128           2020-01-02                    1                    1                  1.7                  1.6        1.69517579722      0.0214277237602
                  4130           2020-01-03                    1                    1                  1.7                  1.6        1.68161164359      0.0387389208598
                  4131           2020-01-03                    1                    1                  1.7                  1.6        1.69474624732      0.0223108348302
                  4132           2020-01-03                    1                    2                  1.7                  1.6        1.69227467811      0.0266992807124
                  4134           2020-01-06                    1                    2                  1.8                  1.6        1.70003913894     0.00523409289343
                  4135           2020-01-06                    1                    2                  1.8                  1.6        1.69884704074      0.0110296421624
                  4136           2020-01-06                    1                    2                  1.8                  1.6        1.70055986219     0.00801785741547
                  4138           2020-01-07                    1                    2                  1.8                  1.6         1.6978353305      0.0150745839443
                  4139           2020-01-07                    1                    2                  1.8                  1.6        1.69818718381      0.0142579951594
                  4140           2020-01-07                    1                    2                  1.7                  1.6        1.69773095624      0.0148914679071
                  4144           2020-01-08                    1                    2                  1.7                  1.6        1.69959928762     0.00631748900644
                  4148           2020-01-09                    1                    3                  1.8                  1.6        1.69268747089       0.026389590305
                  4152           2020-01-10                    1                    3                  1.7                  1.6        1.69035040431      0.0295270193518
                  4154           2020-01-13                    4                    2                  1.8                  1.7         1.7022614841      0.0148672155955
                  4155           2020-01-13                    4                    2                  1.8                  1.7         1.7001507159     0.00387928792049
                  4156           2020-01-13                    4                    2                  1.7                  1.7                  1.7    2.77826806699e-14
                  4158           2020-01-14                    4                    2                  1.8                  1.6                  1.7     0.00651981366639
                  4159           2020-01-14                    4                    2                  1.7                  1.6        1.69996270048     0.00193094802022
                  4160           2020-01-14                    4                    2                  1.7                  1.7                  1.7    2.50721752387e-14
                  4162           2020-01-15                    4                    3                  1.7                  1.6        1.69992932862     0.00265746935363
                  4163           2020-01-15                    4                    3                  1.7                  1.6         1.6998100304     0.00435440834506
                  4164           2020-01-15                    4                    3                  1.7                  1.6        1.69853870458      0.0119997565627
                  4166           2020-01-16                    4                    3                  1.7                  1.7                  1.7    7.75882179685e-14
                  4167           2020-01-16                    4                    3                  1.7                  1.7                  1.7    8.13151629364e-14
                  4168           2020-01-16                    4                    3                  1.7                  1.7                  1.7    6.23416249179e-14
                  4170           2020-01-17                    4                    3                  1.7                  1.6        1.69483079212      0.0221404624669
                  4171           2020-01-17                    4                    3                  1.7                  1.6        1.68596424496      0.0347357608878
                  4172           2020-01-17                    4                    3                  1.7                  1.6        1.65918904687      0.0491483612919
                  4174           2020-01-20                    4                    3                  1.8                  1.6        1.70014326648     0.00463351336069
                  4175           2020-01-20                    4                    4                  1.8                  1.6        1.69959499264     0.00878382357884
                  4176           2020-01-20                    4                    4                  1.8                  1.6        1.69987266553     0.00683177062253
                  4177           2020-01-20                    4                    4                  1.7                  1.6        1.69741784038      0.0158602778701
                  4179           2020-01-21                    4                    4                  1.7                  1.6        1.69723404255      0.0163995495085
                  4181           2020-01-21                    4                    4                  1.7                  1.7                  1.7    2.23616698075e-14
                  4183           2020-01-22                    4                    4                  1.8                  1.6        1.69855907781      0.0133431262085
                  4184           2020-01-22                    4                    4                  1.8                  1.6        1.69824299065      0.0139658067895
                  4185           2020-01-22                    4                    4                  1.7                  1.6        1.69832735962      0.0128244419911
                  4187           2020-01-23                    4                    4                  1.8                  1.7        1.70022514071     0.00473955514304
                  4188           2020-01-23                    4                    4                  1.8                  1.6        1.68789237668      0.0331460773357
                  4189           2020-01-23                    4                    4                  1.7                  1.6        1.63386699507      0.0473257451294
                  4191           2020-01-24                    4                    5                  1.8                  1.6         1.6986157875       0.012607612558
                  4192           2020-01-24                    4                    5                  1.7                  1.6        1.69085388994      0.0288263711993
                  4193           2020-01-24                    4                    5                  1.7                  1.6        1.69880149813      0.0108818096164
                  4194           2020-01-27                    1                    3                  1.8                  1.7        1.74915254237      0.0499928176398
                  4195           2020-01-27                    1                    3                  1.8                  1.7         1.7004341534      0.0065747129908
                  4196           2020-01-27                    1                    3                  1.8                  1.7        1.70493545938       0.021660728946
                  4197           2020-01-27                    1                    3                  1.8                  1.7        1.70005885815     0.00242535583026
                  4199           2020-01-28                    1                    3                  1.8                  1.6        1.69916666667      0.0102165561381
                  4200           2020-01-28                    1                    3                  1.8                  1.6        1.69904580153      0.0111822942077
                  4201           2020-01-28                    1                    3                  1.7                  1.6        1.69358006042      0.0245107799454
                  4203           2020-01-29                    1                    3                  1.7                  1.6        1.69849354376      0.0121809775345
                  4204           2020-01-29                    1                    4                  1.8                  1.6         1.6997311828     0.00649387718114
                  4205           2020-01-29                    1                    4                  1.7                  1.6        1.68758791891      0.0329719327942
                  4207           2020-01-30                    1                    4                  1.8                  1.6        1.68289054198      0.0377531046431
                  4208           2020-01-30                    1                    4                  1.7                  1.6         1.6592578276      0.0491354518463
                  4209           2020-01-30                    1                    4                  1.7                  1.6                 1.62                 0.04
                  4211           2020-01-31                    1                    4                  1.7                  1.6        1.68537037037       0.035340301355
                  4212           2020-01-31                    1                    4                  1.7                  1.6        1.68931845357      0.0308878488906
                  4213           2020-01-31                    1                    4                  1.7                  1.6        1.67897435897      0.0407490677442
                  4215           2020-02-03                    1                    4                  1.7                  1.6        1.69596174283      0.0196854818667
                  4216           2020-02-03                    1                    4                  1.7                  1.6        1.68282485876      0.0377164241091
                  4217           2020-02-03                    1                    4                  1.7                  1.6        1.68977272727      0.0303006627863
                  4219           2020-02-04                    1                    5                  1.7                  1.6        1.67048832272      0.0456095234816
                  4220           2020-02-04                    1                    5                  1.7                  1.6        1.64697674419      0.0499085155488
                  4221           2020-02-04                    1                    5                  1.7                  1.6        1.68903654485      0.0312433699548
                  4223           2020-02-05                    1                    5                  1.7                  1.6        1.69708496267      0.0168227907927
                  4224           2020-02-05                    1                    5                  1.7                  1.6        1.69936448598     0.00794654162521
